"group" "id" "x" "y" "phenotype1" "envi" "group_env" "new_group"
"649" 24 279 0.201787 0.214416 -0.646952 -0.735554 -0.8 2
"364" 11 280 0.0308248 0.485621 0.662174 -0.338289 -0.3 15
"293" 9 281 0.425595 0.412862 1.70547 0.729557 0.7 32
"28" 2 282 0.518142 0.617484 0.740374 0.999366 1 37
"482" 17 283 0.0145064 0.0221963 -0.85185 -0.58928 -0.6 6
"856" 32 284 0.420571 0.973609 0.769686 0.283315 0.3 28
"749" 28 285 0.472312 0.809458 0.875008 0.695419 0.7 33
"217" 6 286 0.935893 0.981623 1.10865 -0.367805 -0.4 13
"65" 3 287 0.458187 0.0157531 1.45283 1.55017 1.6 39
"36" 2 288 0.518845 0.616554 0.798637 0.998375 1 37
"95" 3 289 0.451658 0.0167076 1.5317 1.50032 1.6 39
"898" 33 290 0.148658 0.634187 -0.233019 -0.301386 -0.4 14
"751" 28 291 0.480723 0.800432 1.03711 0.745096 0.7 33
"914" 34 292 0.980229 0.564875 -0.662001 -0.738905 -0.7 5
"149" 5 293 0.0323861 0.270932 1.1468 -0.461056 -0.4 12
"981" 37 294 0.0582822 0.0175389 0.763876 -0.470059 -0.5 11
"771" 28 295 0.468726 0.81508 1.16595 0.670791 0.7 33
"488" 17 296 0.00721812 0.0299189 0.0293261 -0.602404 -0.6 6
"199" 6 297 0.940049 0.968015 -0.164412 -0.393381 -0.4 13
"923" 34 298 0.963434 0.577075 0.243214 -0.671739 -0.7 5
"648" 24 299 0.188904 0.232087 0.0695999 -0.771324 -0.8 2
"266" 8 300 0.577035 0.906391 -0.123953 0.290726 0.3 24
"440" 15 301 0.344533 0.79951 0.186146 0.303532 0.3 26
"660" 25 302 0.0171 0.984498 -0.112789 -0.159083 -0.2 18
"104" 4 303 0.818524 0.212928 -0.163744 0.274682 0.3 23
"272" 8 304 0.589658 0.903134 0.250033 0.26894 0.3 24
"456" 16 305 0.291388 0.50047 -0.717288 0.498217 0.4 30
"229" 7 306 0.26843 0.0364279 0.248165 0.114317 0.2 21
"836" 31 307 0.641651 0.505143 1.75537 0.767186 0.8 35
"286" 9 308 0.445664 0.435444 0.688384 0.856284 0.7 32
"731" 27 309 0.938165 0.780579 -0.208915 -0.766111 -0.7 4
"572" 21 310 0.64764 0.126445 1.08531 0.859562 0.9 36
"382" 12 311 0.737637 0.00770356 0.659638 0.380265 0.3 25
"484" 17 312 0.0114429 0.0245962 -0.812773 -0.595731 -0.6 6
"480" 16 313 0.313062 0.494102 0.138875 0.538202 0.4 30
"432" 14 314 0.362214 0.254746 -1.07201 -0.0612082 -0.2 17
