id x y phenotype1 envi 
367 0.984119 0.206124 -0.676685 -1.38046 
368 0.367152 0.272711 -0.303844 0.289444 
369 0.583509 0.75058 0.682487 0.578254 
370 0.453789 0.372601 -0.0222967 0.917292 
371 0.0388038 0.788283 -0.312832 -0.790568 
372 0.994484 0.54026 0.1406 -0.792695 
373 0.0893625 0.987778 -0.109876 -0.394008 
374 0.0860623 0.200907 -1.61046 -0.50968 
375 0.0975122 0.189039 0.292639 -0.52968 
376 0.0577754 0.992587 0.705931 -0.539292 
377 0.80428 0.408184 0.328868 -0.0798056 
378 0.97461 0.460692 -0.416793 -0.68412 
379 0.988324 0.449683 -0.251108 -0.782508 
380 0.954916 0.501693 -0.313153 -0.474176 
381 0.98462 0.20597 -0.696883 -1.38274 
382 0.854991 0.996698 0.0167613 -0.312463 
383 0.0282105 0.538576 -0.0212867 -0.458537 
384 0.837694 0.608649 1.82886 -0.185431 
385 0.219401 0.459007 -0.836816 -0.0977317 
386 0.948277 0.921632 0.167664 -0.953008 
387 0.99206 0.442378 0.314223 -0.827467 
388 0.25421 0.917504 -0.270781 0.16828 
389 0.991081 0.497003 0.45591 -0.6032 
390 0.935622 0.169515 -0.676685 -1.01186 
391 0.288171 0.908213 -0.186972 0.190679 
392 0.798776 0.400185 0.447112 -0.0641877 
393 0.985765 0.510631 -0.237576 -0.620998 
394 0.0734199 0.20619 -1.08684 -0.502981 
395 0.0077399 0.772683 0.504028 -0.88241 
396 0.800587 0.237253 -0.290344 -0.288273 
397 0.799549 0.248069 -0.117513 -0.266529 
398 0.292457 0.908635 0.369371 0.197831 
399 0.475957 0.0649602 -0.048379 0.451623 
400 0.959236 0.139073 1.06878 -1.02629 
401 0.801934 0.237124 -0.524709 -0.297336 
402 0.670007 0.880061 0.464211 0.392698 
403 0.961194 0.727513 -0.72547 -1.38702 
404 0.00369917 0.78133 -0.77473 -0.889066 
405 0.749393 0.67309 -0.672141 0.397154 
406 0.494695 0.33766 0.328868 1.06641 
407 0.182428 0.965384 -0.324075 -0.00236477 
408 0.964577 0.0177766 0.173312 -0.645172 
409 0.0193742 0.191861 -0.442319 -0.533157 
410 0.965595 0.00942622 -0.988791 -0.61767 
411 0.300327 0.602536 -0.124886 0.116329 
412 0.814639 0.996148 0.952549 -0.111812 
413 0.296974 0.610228 0.106828 0.0869951 
414 0.796427 0.0628399 0.426913 -0.516269 
415 0.970433 0.218794 -1.44295 -1.34619 
416 0.599041 0.749983 0.425452 0.56859 
417 0.816467 0.992545 -0.995209 -0.121248 
418 0.945077 0.921734 -0.968592 -0.93273 
419 0.258043 0.764966 -0.386393 -0.255095 
420 0.956445 0.737735 -0.747759 -1.38498 
421 0.643046 0.0207256 -0.0979147 -0.0982916 
